HBA;HBD;Molar ratio;Temperature (C);Pressure (bar);log 10 x_sol H2S;log 10 x_sol CO2;log 10 x_sol CH4;solubility H2S;solubility CO2;solubility CH4;Selectivity of H2S/ CH4;Selectivity of CO2/ CH4;Performance Index
acetylcholine chloride;Levulinic acid; 1& 1;303.15;1;-0.69766614;-1.93279145;-3.02440856;0.200601354;0.011673701;0.000945347;1697.588431;98.78866055;167702.4873
acetylcholine chloride;Levulinic acid; 1& 1;313.15;1;-0.79801808;-2.02947843;-3.06056968;0.159214244;0.009343758;0.000869822;1464.338858;85.93720743;125841.1922
acetylcholine chloride;Levulinic acid; 1& 1;323.15;1;-0.89433468;-2.11919873;-3.09346967;0.127545553;0.007599784;0.000806363;1265.391687;75.39819115;95408.24429
acetylcholine chloride;Levulinic acid; 1& 1;333.15;1;-0.98610092;-2.20298923;-3.12353796;0.103252144;0.006266294;0.000752423;1097.809607;66.62522934;73141.81684
acetylcholine chloride;Levulinic acid; 1& 1;303.15;2;-0.45778236;-1.63465167;-2.72333568;0.348511923;0.023192541;0.001890882;1474.495009;98.1237183;144682.9329
acetylcholine chloride;Levulinic acid; 1& 1;313.15;2;-0.54721379;-1.73060244;-2.75949232;0.283652235;0.018595059;0.001739833;1304.273039;85.50270747;111518.8761
acetylcholine chloride;Levulinic acid; 1& 1;323.15;2;-0.63410319;-1.8197986;-2.79238968;0.232218497;0.015142633;0.001612911;1151.798416;75.1071127;86508.25345
acetylcholine chloride;Levulinic acid; 1& 1;333.15;2;-0.71806584;-1.90320758;-2.82245668;0.191396574;0.012496616;0.001505024;1017.374451;66.42615079;67580.26867
acetylcholine chloride;Levulinic acid; 1& 1;303.15;3;-0.31047255;-1.46136774;-2.54720099;0.489246187;0.034564658;0.002836606;1379.807264;97.48173203;134506.002
acetylcholine chloride;Levulinic acid; 1& 1;313.15;3;-0.41022635;-1.55661594;-2.58335325;0.388842431;0.027757737;0.002610038;1191.837064;85.07996391;101401.4544
acetylcholine chloride;Levulinic acid; 1& 1;323.15;3;-0.49183255;-1.64530696;-2.61624806;0.322231097;0.022630442;0.002419647;1065.382348;74.82230567;79714.36373
acetylcholine chloride;Levulinic acid; 1& 1;333.15;3;-0.57055808;-1.72834858;-2.64631383;0.268807833;0.018691813;0.002257804;952.4577874;66.2300735;63081.34926
acetylcholine chloride;Levulinic acid;1&2;303.15;1;-0.73206831;-1.95994206;-3.03778943;0.185324011;0.010966245;0.000916665;1617.376419;95.70560148;154791.983
acetylcholine chloride;Levulinic acid;1&2;313.15;1;-0.83327791;-2.05483336;-3.07226741;0.14679866;0.00881387;0.000846706;1387.009664;83.27680161;115505.7286
acetylcholine chloride;Levulinic acid;1&2;323.15;1;-0.92964413;-2.14281481;-3.1035935;0.117586069;0.007197558;0.000787783;1194.096312;73.09180333;87278.65279
acetylcholine chloride;Levulinic acid;1&2;333.15;1;-1.02091613;-2.22493164;-3.13219012;0.095298018;0.005957559;0.000737581;1033.627314;64.61724937;66790.15387
acetylcholine chloride;Levulinic acid;1&2;303.15;2;-0.47885025;-1.66118992;-2.73667157;0.332008919;0.021817756;0.001833701;1448.476011;95.18568442;137874.1805
acetylcholine chloride;Levulinic acid;1&2;313.15;2;-0.57383262;-1.75550632;-2.77115243;0.266788669;0.017558753;0.001693743;1260.113885;82.93466543;104507.1235
acetylcholine chloride;Levulinic acid;1&2;323.15;2;-0.66365278;-1.84307536;-2.8024817;0.216943789;0.014352404;0.001575862;1101.333645;72.86120123;80244.49236
acetylcholine chloride;Levulinic acid;1&2;333.15;2;-0.74896461;-1.92489399;-2.83108166;0.178252402;0.011887924;0.001475429;966.5115248;64.45812332;62299.51906
acetylcholine chloride;Levulinic acid;1&2;303.15;3;-0.32045687;-1.48730251;-2.56049181;0.478126847;0.032560982;0.002751111;1390.352516;94.68458652;131644.9531
acetylcholine chloride;Levulinic acid;1&2;313.15;3;-0.42428316;-1.58107352;-2.59497567;0.376458268;0.026237743;0.002541115;1185.175041;82.60229941;97898.1836
