,Type,HBA,X HBA,Mw HBA,HBD,X HBD,Mw HBD,T (K),Viscosity
0,1,Cl[Zn]Cl,0.667,136.30,C[N+](C)(C)CCO.[Cl-],0.333,139.62,298.15,85000.0
1,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.500,266.45,C[N+](C)(C)CCO.[Cl-],0.500,139.62,293.15,13085.4
2,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.500,266.45,C[N+](C)(C)CCO.[Cl-],0.500,139.62,315.15,2475.7
3,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.500,266.45,C[N+](C)(C)CCO.[Cl-],0.500,139.62,326.15,1195.3
4,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.500,266.45,C[N+](C)(C)CCO.[Cl-],0.500,139.62,347.65,422.9
5,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.600,266.45,C[N+](C)(C)CCO.[Cl-],0.400,139.62,293.15,7516.3
6,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.600,266.45,C[N+](C)(C)CCO.[Cl-],0.400,139.62,315.15,1418.8
7,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.600,266.45,C[N+](C)(C)CCO.[Cl-],0.400,139.62,326.15,727.8
8,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.600,266.45,C[N+](C)(C)CCO.[Cl-],0.400,139.62,336.65,463.6
9,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.600,266.45,C[N+](C)(C)CCO.[Cl-],0.400,139.62,347.65,260.3
10,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.667,266.45,C[N+](C)(C)CCO.[Cl-],0.333,139.62,293.15,4670.8
11,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.667,266.45,C[N+](C)(C)CCO.[Cl-],0.333,139.62,315.15,992.0
12,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.667,266.45,C[N+](C)(C)CCO.[Cl-],0.333,139.62,326.15,605.8
13,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.710,266.45,C[N+](C)(C)CCO.[Cl-],0.290,139.62,293.15,4122.1
14,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.710,266.45,C[N+](C)(C)CCO.[Cl-],0.290,139.62,315.15,788.8
15,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.710,266.45,C[N+](C)(C)CCO.[Cl-],0.290,139.62,326.15,402.6
16,2,O.O.O.O.O.O.Cl[Cr](Cl)Cl,0.710,266.45,C[N+](C)(C)CCO.[Cl-],0.290,139.62,347.65,118.0
17,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C1=NC=NN1,0.500,69.07,303.15,304.69
18,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C1=NC=NN1,0.500,69.07,323.15,83.06
19,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C1=NC=NN1,0.500,69.07,333.15,46.48
20,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C1=NC=NN1,0.500,69.07,373.15,8.37
21,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C(C(C(C(C(=O)CO)O)O)O)O,0.500,180.16,298.15,1380.1
22,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C(C(C(C(C(=O)CO)O)O)O)O,0.500,180.16,303.15,845.74
23,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C(C(C(C(C(=O)CO)O)O)O)O,0.500,180.16,308.15,357.53
24,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C(C(C(C(C(=O)CO)O)O)O)O,0.500,180.16,323.15,124.93
25,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C(C(C(C(C(=O)CO)O)O)O)O,0.500,180.16,328.15,70.17
26,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C(C(C(C(C(=O)CO)O)O)O)O,0.500,180.16,338.15,42.78
27,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C(C(C(C(C(=O)CO)O)O)O)O,0.500,180.16,343.15,27.97
28,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C(C(C(C(C(C=O)O)O)O)O)O,0.500,180.16,298.15,1066.43
29,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C(C(C(C(C(C=O)O)O)O)O)O,0.500,180.16,303.15,671.82
30,3,CC(=O)OCC[N+](C)(C)C.[Cl-],0.500,181.66,C(C(C(C(C(C=O)O)O)O)O)O,0.500,180.16,313.15,297.18
