HBA;HBD;HBA:HBD;T(K);Tc(K);Pc(bar);?;Density (kg/m3);LSSVR;ARD%;AARD%
Acetyl choline chloride;1,2,4-triazole;"1;1";303.15;682.86;38.480;0.4819;1129.3;1120.560972;0.77;0.26
Acetyl choline chloride;1,2,4-triazole;"1;1";313.15;682.86;38.480;0.4819;1124.9;1121.490567;0.30;
Acetyl choline chloride;1,2,4-triazole;"1;1";323.15;682.86;38.480;0.4819;1119.3;1118.542654;0.07;
Acetyl choline chloride;1,2,4-triazole;"1;1";333.15;682.86;38.480;0.4819;1113.3;1112.407564;0.08;
Acetyl choline chloride;1,2,4-triazole;"1;1";343.15;682.86;38.480;0.4819;1108.1;1104.611592;0.31;
Acetyl choline chloride;1,2,4-triazole;"1;1";353.15;682.86;38.480;0.4819;1103.7;1096.893681;0.62;
Acetyl choline chloride;1,2,4-triazole;"1;1";363.15;682.86;38.480;0.4819;1100.2;1090.725821;0.86;
Acetyl choline chloride;D-Fructose;"1;1";293.15;844.60;25.637;1.3743;1266.0;1257.331697;0.68;
Acetyl choline chloride;D-Fructose;"1;1";298.15;844.60;25.637;1.3743;1263.0;1255.811913;0.57;
Acetyl choline chloride;D-Fructose;"1;1";303.15;844.60;25.637;1.3743;1260.0;1253.538075;0.51;
Acetyl choline chloride;D-Fructose;"1;1";308.15;844.60;25.637;1.3743;1257.0;1250.73959;0.50;
Acetyl choline chloride;D-Fructose;"1;1";313.15;844.60;25.637;1.3743;1254.0;1247.63709;0.51;
Acetyl choline chloride;D-Fructose;"1;1";318.15;844.60;25.637;1.3743;1250.0;1244.419601;0.45;
Acetyl choline chloride;D-Fructose;"1;1";323.15;844.60;25.637;1.3743;1247.0;1241.227112;0.46;
Acetyl choline chloride;D-Fructose;"1;1";328.15;844.60;25.637;1.3743;1244.0;1238.140683;0.47;
Acetyl choline chloride;D-Fructose;"1;1";333.15;844.60;25.637;1.3743;1240.0;1235.181055;0.39;
Acetyl choline chloride;D-Fructose;"1;1";338.15;844.60;25.637;1.3743;1237.0;1232.315436;0.38;
Acetyl choline chloride;D-Fructose;"1;1";343.15;844.60;25.637;1.3743;1233.0;1229.470932;0.29;
Acetyl choline chloride;D-Fructose;"1;1";348.15;844.60;25.637;1.3743;1229.0;1226.552238;0.20;
Acetyl choline chloride;D-Fructose;"1;1";353.15;844.60;25.637;1.3743;1226.0;1223.46072;0.21;
Acetyl choline chloride;D-Glucose;"1;1";293.15;839.54;25.931;1.3571;1266.0;1259.043469;0.55;
Acetyl choline chloride;D-Glucose;"1;1";298.15;839.54;25.931;1.3571;1263.0;1258.264619;0.37;
Acetyl choline chloride;D-Glucose;"1;1";303.15;839.54;25.931;1.3571;1260.0;1256.660729;0.27;
Acetyl choline chloride;D-Glucose;"1;1";308.15;839.54;25.931;1.3571;1257.0;1254.433428;0.20;
Acetyl choline chloride;D-Glucose;"1;1";313.15;839.54;25.931;1.3571;1253.0;1251.785619;0.10;
Acetyl choline chloride;D-Glucose;"1;1";318.15;839.54;25.931;1.3571;1250.0;1248.900203;0.09;
Acetyl choline chloride;D-Glucose;"1;1";323.15;839.54;25.931;1.3571;1247.0;1245.922731;0.09;
Acetyl choline chloride;D-Glucose;"1;1";328.15;839.54;25.931;1.3571;1244.0;1242.950114;0.08;
Acetyl choline chloride;D-Glucose;"1;1";333.15;839.54;25.931;1.3571;1241.0;1240.026533;0.08;
Acetyl choline chloride;D-Glucose;"1;1";338.15;839.54;25.931;1.3571;1238.0;1237.146653;0.07;
Acetyl choline chloride;D-Glucose;"1;1";343.15;839.54;25.931;1.3571;1235.0;1234.265128;0.06;
Acetyl choline chloride;D-Glucose;"1;1";348.15;839.54;25.931;1.3571;1232.0;1231.310582;0.06;
Acetyl choline chloride;D-Glucose;"1;1";353.15;839.54;25.931;1.3571;1229.0;1228.201736;0.06;
